Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.17331708185498E-12,0.00178247112194396,0.00306162092244028,0,0,0,0.0728910331402469,3.33197131957043E-05,-2.71242780722914E-14,8.0980735478671E-16,0.000102630001592682,1.6496497981213E-12,0.000132875198490806,0,0,0,0,0,0,package://manipulator4/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://manipulator4/meshes/base_link.STL,,foot_right-1/SF106-0 V2-2;foot_right-1/FR08-H101-S V1-2,GLOBAL1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.000227538997475629,0.0154251824435588,-0.0551470673142738,0,0,0,0.180088485284144,7.46163435024469E-05,1.04652081852546E-06,5.66413204468217E-10,4.6834481154212E-05,1.07372682745277E-06,7.51968011341353E-05,0,0,0,0,0,0,package://manipulator4/meshes/link_1.STL,0.109803921568627,0.109803921568627,0.109803921568627,1,0,0,0,0,0,0,package://manipulator4/meshes/link_1.STL,,angkle_right_link-1/MX-106-7;angkle_right_link-1/FR05-S101-4;angkle_right_link-1/MF128ZZ-5;angkle_right_link-1/CAP-5;angkle_right_link-1/HN05-i101-6;angkle_right_link-1/FR05-F101-2;angkle_right_link-1/MX-106-8;angkle_right_link-1/FR08-X101K-L-2;angkle_right_link-1/FR08-X101K-L-4,1,Axis1,joint_1,revolute,0.02791,0.0096306,0.03233,1.5708,-0.00052794,1.5708,base_link,0,0,1,3.14,3.14,-3.14,3.14,,,,,,,,
link_2,-0.00932898241717806,0.0613340430799498,-0.0305322255214537,0,0,0,0.0193582268613659,3.00375991978184E-05,4.16144713130199E-06,2.19699734046279E-09,1.5433776617761E-05,-3.1693652762254E-09,2.14370348461358E-05,0,0,0,0,0,0,package://manipulator4/meshes/link_2.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://manipulator4/meshes/link_2.STL,,knee2_right_link.SLDASM-1,2,Axis2,joint_2,revolute,0.0308,-1.6277E-05,-0.03202,-1.5708,1.5708,-1.5708,link_1,0,-0.00052794,1,3.14,3.14,-3.14,3.14,,,,,,,,
link_3,2.84556350677589E-05,0.0218754116356132,-0.0255801322315767,0,0,0,0.0975320096834529,4.93088846498694E-05,7.60384502706862E-09,-2.30622525887365E-09,2.88361322903035E-05,1.05882453673914E-06,3.6419155365456E-05,0,0,0,0,0,0,package://manipulator4/meshes/link_3.STL,0.109803921568627,0.109803921568627,0.109803921568627,1,0,0,0,0,0,0,package://manipulator4/meshes/link_3.STL,,knee_right_link-1/MX-106-5;knee_right_link-1/FR-XM5-02-1;knee_right_link-1/FR05-S101-3,3,Axis3,joint_3,revolute,0,0.0950025208757817,-0.00474984497089004,0,0,0,link_2,0,-0.000527940633375548,0.999999860639334,3.14,3.14,-3.14,3.14,,,,,,,,
