Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.001787,0.003059,1.7139E-06,0,0,0,0.072891,0.00010263,4.5051E-08,6.6644E-08,0.00013288,-1.0017E-10,3.332E-05,0,0,0,0,0,0,package://manipulator3/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://manipulator3/meshes/base_link.STL,,foot_right-1/SF106-0 V2-2;foot_right-1/FR08-H101-S V1-2,ORIGIN1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.00022754,0.015425,-0.055147,0,0,0,0.18009,7.4616E-05,1.0465E-06,5.6641E-10,4.6834E-05,1.0737E-06,7.5197E-05,0,0,0,0,0,0,package://manipulator3/meshes/link_1.STL,0.1098,0.1098,0.1098,1,0,0,0,0,0,0,package://manipulator3/meshes/link_1.STL,,angkle_right_link-1/MX-106-7;angkle_right_link-1/FR05-S101-4;angkle_right_link-1/MF128ZZ-5;angkle_right_link-1/CAP-5;angkle_right_link-1/HN05-i101-6;angkle_right_link-1/FR05-F101-2;angkle_right_link-1/MX-106-8;angkle_right_link-1/FR08-X101K-L-2;angkle_right_link-1/FR08-X101K-L-4,1,Axis1,joint_1,revolute,0.0096519,0.032315,0.027919,0,-0.00096153,-0.00096153,base_link,0,0,1,3.14,3.14,-3.14,3.14,,,,,,,,
link_2,-0.00932898241718139,0.0613340430799445,-0.0305322255214504,0,0,0,0.0193582268613659,3.00375991978183E-05,4.16144713130198E-06,2.1969973404616E-09,1.5433776617761E-05,-3.16936527622628E-09,2.14370348461357E-05,0,0,0,0,0,0,package://manipulator3/meshes/link_2.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://manipulator3/meshes/link_2.STL,,knee2_right_link.SLDASM-1,2,Axis2,joint_2,revolute,0.0308,-1.6277E-05,-0.03202,-1.5708,1.5708,-1.5708,link_1,0,-0.00052794,1,3.14,3.14,-3.14,3.14,,,,,,,,
link_3,2.84556350642617E-05,0.021875411635608,-0.0255801322315733,0,0,0,0.0975320096834529,4.93088846498693E-05,7.60384502705622E-09,-2.30622525888357E-09,2.88361322903035E-05,1.05882453673916E-06,3.64191553654559E-05,0,0,0,0,0,0,package://manipulator3/meshes/link_3.STL,0.109803921568627,0.109803921568627,0.109803921568627,1,0,0,0,0,0,0,package://manipulator3/meshes/link_3.STL,,knee_right_link-1/MX-106-5;knee_right_link-1/FR-XM5-02-1;knee_right_link-1/FR05-S101-3,3,Axis3,joint_3,revolute,0,0.095003,-0.0047498,0,0,0,link_2,0,-0.00052794,1,3.14,3.14,-3.14,3.14,,,,,,,,
